na_ratio,method,summed_rank_tcga,summed_rank_hancock,summed_rank_mimic,n_runs_tcga,n_runs_hancock,n_runs_mimic,summed_rank_total,n_runs_total,avg_rank,rank
0.01,AutoComplete,39.0,40.0,37.0,10,10,10,116.0,30,3.8666666666666667,4.0
0.01,KNN,31.0,22.0,22.0,10,10,10,75.0,30,2.5,3.0
0.01,MissForest,11.0,10.0,23.0,10,10,10,44.0,30,1.4666666666666666,1.0
0.01,POME,19.0,28.0,18.0,10,10,10,65.0,30,2.1666666666666665,2.0
0.05,AutoComplete,40.0,40.0,37.0,10,10,10,117.0,30,3.9,4.0
0.05,KNN,30.0,28.0,32.0,10,10,10,90.0,30,3.0,3.0
0.05,MissForest,11.0,10.0,18.0,10,10,10,39.0,30,1.3,1.0
0.05,POME,19.0,22.0,13.0,10,10,10,54.0,30,1.8,2.0
0.1,AutoComplete,40.0,38.0,39.0,10,10,10,117.0,30,3.9,4.0
0.1,KNN,30.0,32.0,31.0,10,10,10,93.0,30,3.1,3.0
0.1,MissForest,15.0,10.0,19.0,10,10,10,44.0,30,1.4666666666666666,1.0
0.1,POME,15.0,20.0,11.0,10,10,10,46.0,30,1.5333333333333334,2.0
0.25,AutoComplete,40.0,30.0,39.0,10,10,10,109.0,30,3.6333333333333333,4.0
0.25,KNN,30.0,40.0,31.0,10,10,10,101.0,30,3.3666666666666667,3.0
0.25,MissForest,18.0,10.0,19.0,10,10,10,47.0,30,1.5666666666666667,2.0
0.25,POME,12.0,20.0,11.0,10,10,10,43.0,30,1.4333333333333333,1.0
0.5,AutoComplete,36.0,30.0,40.0,10,10,10,106.0,30,3.533333333333333,4.0
0.5,KNN,34.0,40.0,30.0,10,10,10,104.0,30,3.466666666666667,3.0
0.5,MissForest,16.0,10.0,16.0,10,10,10,42.0,30,1.4,1.0
0.5,POME,14.0,20.0,14.0,10,10,10,48.0,30,1.6,2.0
